"iso","country","city","maxLevel"
"MAR","Morocco","Ben Slimane","Ahlaf"
"MAR","Morocco","Ben Slimane","Ain Tizgha"
"MAR","Morocco","Ben Slimane","Fdalate"
"MAR","Morocco","Ben Slimane","Mellila"
"MAR","Morocco","Ben Slimane","Moualine El Ghaba"
"MAR","Morocco","Ben Slimane","Moualine El Ouad"
"MAR","Morocco","Ben Slimane","Oulad Ali Toualaa"
"MAR","Morocco","Ben Slimane","Oulad Yahya Louta"
"MAR","Morocco","Ben Slimane","Rdadna Oulad Malek"
"MAR","Morocco","Ben Slimane","Ziaida"
"MAR","Morocco","Ben Slimane","Bir Ennasr"
"MAR","Morocco","Ben Slimane","Bni Yakhlef"
"MAR","Morocco","Ben Slimane","El Mansouria"
"MAR","Morocco","Ben Slimane","Sidi Bettache"
"MAR","Morocco","Ben Slimane","Sidi Khdim"
"MAR","Morocco","Ben Slimane","Sidi Moussa Ben Ali"
"MAR","Morocco","Ben Slimane","Sidi Moussa El Majdoub"
"MAR","Morocco","Ben Slimane","Ben Slimane"
"MAR","Morocco","Ben Slimane","Bouznika"
"MAR","Morocco","Khouribga","Ain Kaicher"
"MAR","Morocco","Khouribga","Bni Bataou"
"MAR","Morocco","Khouribga","Bni Zrantel"
"MAR","Morocco","Khouribga","Boukhrisse"
"MAR","Morocco","Khouribga","Chougrane"
"MAR","Morocco","Khouribga","Oulad Gouaouch"
"MAR","Morocco","Khouribga","Rouached"
"MAR","Morocco","Khouribga","Tachrafat"
"MAR","Morocco","Khouribga","Bir Mezoui"
"MAR","Morocco","Khouribga","Bni Ykhlef"
"MAR","Morocco","Khouribga","Boulanouare"
"MAR","Morocco","Khouribga","El Foqra"
"MAR","Morocco","Khouribga","Lagfaf"
"MAR","Morocco","Khouribga","M'Fassis"
"MAR","Morocco","Khouribga","Oulad Abdoune"
"MAR","Morocco","Khouribga","Oulad Azzouz"
"MAR","Morocco","Khouribga","Bejaad"
"MAR","Morocco","Khouribga","Boujniba"
"MAR","Morocco","Khouribga","Hattane"
"MAR","Morocco","Khouribga","Khouribga"
"MAR","Morocco","Khouribga","Ouad Zem"
"MAR","Morocco","Khouribga","Ait Ammar"
"MAR","Morocco","Khouribga","Bni Smir"
"MAR","Morocco","Khouribga","Braksa"
"MAR","Morocco","Khouribga","Kasbat Troch"
"MAR","Morocco","Khouribga","Lagnadiz"
"MAR","Morocco","Khouribga","Maadna"
"MAR","Morocco","Khouribga","Oulad Aissa"
"MAR","Morocco","Khouribga","Oulad Boughadi"
"MAR","Morocco","Khouribga","Oulad Fennane"
"MAR","Morocco","Khouribga","Oulad Ftata"
"MAR","Morocco","Settat","Ain Dorbane"
"MAR","Morocco","Settat","Bougargouh"
"MAR","Morocco","Settat","Lahlaf M'Zab"
"MAR","Morocco","Settat","Lakhzazra"
"MAR","Morocco","Settat","M'Garto"
"MAR","Morocco","Settat","Mniaa"
"MAR","Morocco","Settat","Mrizigue"
"MAR","Morocco","Settat","N'Khila"
"MAR","Morocco","Settat","Ouad Naanaa"
"MAR","Morocco","Settat","Oulad Chbana"
"MAR","Morocco","Settat","Oulad Fares"
"MAR","Morocco","Settat","Oulad M'Hamed"
"MAR","Morocco","Settat","Ras El Ain Chaouia"
"MAR","Morocco","Settat","Sgamna"
"MAR","Morocco","Settat","Sidi Abdelkrim"
"MAR","Morocco","Settat","Sidi Dahbi"
"MAR","Morocco","Settat","Sidi Hajjaj"
"MAR","Morocco","Settat","Ben Maachou"
"MAR","Morocco","Settat","Laghnimyine"
"MAR","Morocco","Settat","Lahsasna"
"MAR","Morocco","Settat","Lakhiaita"
"MAR","Morocco","Settat","Oulad Salah"
"MAR","Morocco","Settat","Sahel Oulad H'Riz"
"MAR","Morocco","Settat","Sidi Abdelkhaleq"
"MAR","Morocco","Settat","Sidi El Mekki"
"MAR","Morocco","Settat","Sidi Rahal Chatai"
"MAR","Morocco","Settat","Soualem"
